Serial No.,Date,Product ID,Demand,Inventory
1,2022-08-19 08:06:46.120612060,87,724,338
2,2022-05-24 09:16:19.657965796,10,494,323
3,2023-04-26 02:18:15.229522952,78,457,519
4,2023-03-19 04:55:31.053105312,36,289,934
5,2023-03-07 16:04:53.789378936,80,524,593
6,2023-11-12 06:46:07.236723672,18,342,776
7,2023-04-23 07:43:17.659765976,8,816,985
8,2023-10-23 03:10:05.940594056,14,835,178
9,2022-03-21 19:07:39.045904590,61,242,488
10,2022-09-29 22:51:09.666966696,84,49,888
11,2023-04-18 05:04:09.504950496,59,509,178
12,2023-01-01 14:53:36.561656164,10,237,832
13,2023-04-07 23:45:53.195319528,39,855,946
14,2023-05-09 14:27:23.924392440,7,360,803
15,2022-02-01 19:56:54.221422142,38,689,990
16,2023-05-09 09:12:00.432043200,63,784,398
17,2022-11-15 19:44:57.029702968,33,183,442
18,2023-12-27 04:21:23.168316832,41,946,409
19,2023-10-04 01:51:02.106210616,96,358,229
20,2023-06-01 14:23:30.621062104,89,653,34
21,2023-08-08 04:54:21.926192616,28,601,600
22,2023-07-09 04:45:43.474347432,1,122,908
23,2022-09-11 22:03:55.463546352,37,946,597
24,2022-05-11 11:08:13.609360936,92,312,554
25,2023-03-18 14:54:28.406840680,97,653,252
26,2023-05-18 20:58:58.433843384,34,488,253
27,2023-01-15 18:48:55.733573356,98,622,308
28,2022-10-04 02:43:36.021602160,25,409,951
29,2022-03-06 00:39:27.596759676,45,675,597
30,2023-01-14 04:16:03.456345632,96,964,108
31,2022-09-09 15:44:52.709270928,26,602,646
32,2022-12-17 15:41:51.251125112,94,934,347
33,2022-10-05 17:16:28.298829884,86,479,161
34,2022-06-20 13:04:52.709270926,66,20,115
35,2022-01-22 12:53:30.081008100,47,679,772
36,2022-02-16 15:38:23.870387038,52,39,51
37,2022-12-19 22:00:54.005400540,45,818,646
38,2023-08-31 06:35:36.453645360,74,234,933
39,2022-09-22 10:22:43.096309632,94,99,582
40,2022-06-28 13:49:14.095409540,57,953,297
41,2023-03-16 10:20:33.483348336,51,690,579
42,2023-03-20 15:58:07.668766872,96,428,781
43,2022-05-25 20:18:56.273627362,90,993,624
44,2022-11-04 05:09:11.935193520,56,326,947
45,2023-12-08 06:32:34.995499544,24,817,181
46,2022-02-11 23:30:02.700270027,88,992,267
47,2022-04-30 05:18:07.668766876,48,31,278
48,2023-01-29 03:27:48.766876688,63,367,758
49,2022-08-23 06:43:48.982898288,13,946,67
50,2023-12-25 19:03:54.383438344,51,446,905
51,2022-11-26 04:33:29.000900088,24,437,127
52,2022-06-20 06:04:21.386138614,69,242,883
53,2023-05-30 08:04:27.866786680,53,231,799
54,2023-08-31 03:05:20.792079208,67,83,871
55,2023-08-29 02:01:41.530153016,41,556,5
56,2022-12-04 12:18:21.710171016,18,160,386
57,2023-08-09 08:56:27.218721872,80,158,527
58,2022-03-30 06:22:47.416741674,89,365,887
59,2023-11-01 14:57:03.942394240,78,995,107
60,2022-04-16 15:23:51.143114312,40,543,687
61,2023-02-12 16:08:47.092709268,66,776,795
62,2022-11-16 06:15:44.014401440,6,425,569
63,2023-12-16 12:32:19.873987400,72,390,285
64,2022-01-15 07:25:34.833483348,79,567,141
65,2023-05-03 14:46:41.800180016,1,387,365
66,2023-05-14 01:20:21.602160216,80,158,236
67,2023-03-13 12:15:20.252025200,53,63,522
68,2022-11-03 08:07:37.965796580,99,736,397
69,2023-07-06 17:11:17.227722768,26,577,611
70,2023-11-16 14:08:49.252925288,8,210,929
71,2023-10-22 06:08:31.971197120,80,738,771
72,2023-11-11 11:29:41.098109808,29,432,194
73,2023-07-30 22:54:37.047704768,71,932,189
74,2023-10-20 01:34:37.047704768,89,748,607
75,2023-09-04 17:28:34.131413136,1,987,496
76,2022-12-01 07:12:37.155715572,89,940,651
77,2022-06-24 16:57:19.063906390,88,524,539
78,2022-11-04 22:40:30.243024300,74,994,189
79,2022-04-28 21:45:46.714671466,76,783,863
80,2022-10-14 13:17:15.823582356,7,48,102
81,2022-06-20 09:34:37.047704770,83,70,572
82,2023-06-25 21:51:58.271827184,52,934,483
83,2023-02-28 03:36:27.218721872,83,189,669
84,2022-04-11 10:59:35.157515751,62,980,707
85,2023-08-05 15:34:47.848784880,45,566,415
86,2023-10-30 03:22:37.695769576,23,339,405
87,2023-07-12 20:22:15.013501352,29,864,735
88,2022-01-17 19:00:01.080108010,25,177,440
89,2022-01-26 06:15:09.450945094,26,638,397
90,2022-08-08 19:47:58.487848784,28,574,331
91,2022-12-13 22:20:11.881188116,15,991,802
92,2023-02-14 03:11:23.708370836,64,206,983
93,2023-07-26 22:32:26.354635464,17,28,123
94,2023-04-05 03:25:47.794779480,63,942,43
95,2023-09-04 17:28:34.131413136,61,935,166
96,2023-07-09 13:31:22.628262824,2,63,14
97,2023-01-13 10:44:45.148514852,42,913,895
98,2023-02-09 11:03:02.538253824,37,79,747
99,2022-07-30 18:31:47.470747076,81,549,366
100,2022-06-14 11:39:02.754275428,51,407,436
101,2023-07-20 00:05:02.430243024,75,718,118
102,2022-10-23 12:48:19.009900988,45,92,119
103,2022-10-15 22:34:44.608460844,71,973,458
104,2022-05-21 14:41:22.088208820,17,910,139
105,2023-11-18 20:27:52.007200720,49,201,276
106,2022-03-03 04:19:22.196219622,39,70,174
107,2022-05-24 18:01:58.811881188,13,518,755
108,2023-03-22 22:17:10.423042304,46,662,616
109,2022-01-11 00:02:52.817281728,44,206,359
110,2023-02-27 08:20:01.080108008,42,497,256
111,2023-02-09 18:03:33.861386136,36,759,535
112,2023-10-09 13:15:49.414941496,10,287,664
113,2022-07-22 16:02:18.253825382,69,174,722
114,2022-06-15 10:25:44.554455446,85,807,770
115,2022-06-23 19:55:45.094509450,97,772,690
116,2022-09-13 05:36:16.417641764,2,753,128
117,2023-05-16 12:54:47.848784880,55,85,590
118,2023-10-13 06:37:28.784878488,55,251,276
119,2023-08-03 09:15:45.094509448,51,616,706
120,2022-08-21 12:40:41.044104408,36,165,450
121,2023-07-20 19:21:28.568856888,57,385,571
122,2023-05-26 04:12:01.512151216,89,470,932
123,2023-02-21 12:09:34.617461744,29,976,488
124,2023-08-21 04:47:35.805580560,85,359,907
125,2023-04-05 06:56:03.456345632,55,611,790
126,2022-04-20 17:31:09.666966696,54,847,819
127,2022-11-09 04:18:04.428442844,3,578,625
128,2023-04-13 14:40:56.165616560,40,721,28
129,2022-08-04 03:39:37.317731772,42,898,155
130,2023-09-19 13:10:03.780378032,53,610,335
131,2023-12-25 08:33:07.398739872,48,875,780
132,2022-12-05 18:05:34.833483348,42,451,128
133,2023-02-23 09:42:58.217821784,82,548,129
134,2023-11-23 05:35:41.854185416,6,467,718
135,2023-04-08 10:16:40.180018000,84,755,460
136,2023-05-20 20:17:29.864986496,43,748,676
